DU명,BAY,FDF
중부산-00-00(5G),B0210,FDF-1
중부산-00-01(5G),B0210,FDF-1
중부산-00-02(5G),B0210,FDF-1
중부산-00-03(5G),B0210,FDF-1
중부산-00-04(5G),B0210,FDF-1
중부산-00-05(5G),B0210,FDF-1
중부산-00-06(5G),B0210,FDF-1
중부산-00-07(5G),B0210,FDF-1
중부산-00-08(5G),B0210,FDF-1
중부산-00-09(5G),B0210,FDF-1
중부산-01-00(5G),B0210,FDF-1
중부산-01-01(5G),B0210,FDF-1
중부산-01-02(5G),B0211,FDF-2
중부산-01-03(5G),B0211,FDF-2
중부산-01-04(5G),B0211,FDF-2
중부산-01-05(5G),B0211,FDF-2
중부산-01-06(5G),B0211,FDF-2
중부산-01-07(5G),B0211,FDF-2
중부산-01-08(5G),B0211,FDF-2
중부산-01-09(5G),B0211,FDF-2
중부산-02-00(5G),B0211,FDF-2
중부산-02-01(5G),B0211,FDF-2
중부산-02-02(5G),B0211,FDF-2
중부산-02-03(5G),B0211,FDF-2
중부산-02-04(5G),B0212,FDF-3
중부산-02-05(5G),B0212,FDF-3
중부산-02-06(5G),B0212,FDF-3
중부산-02-07(5G),B0212,FDF-3
중부산-02-08(5G),B0212,FDF-3
중부산-02-09(5G),B0212,FDF-3
중부산-03-00(5G),B0212,FDF-3
중부산-03-01(5G),B0212,FDF-3
중부산-03-02(5G),B0212,FDF-3
중부산-03-03(5G),B0212,FDF-3
중부산-03-04(5G),B0212,FDF-3
중부산-03-05(5G),B0212,FDF-3
중부산-03-06(5G),B0213,FDF-4
중부산-03-07(5G),B0213,FDF-4
중부산-03-08(5G),B0213,FDF-4
중부산-03-09(5G),B0213,FDF-4
중부산-04-00(5G),B0213,FDF-4
중부산-04-01(5G),B0213,FDF-4
중부산-04-02(5G),B0213,FDF-4
중부산-04-03(5G),B0213,FDF-4
중부산-04-04(5G),B0213,FDF-4
중부산-04-05(5G),B0213,FDF-4
중부산-04-06(5G),B0213,FDF-4
중부산-04-07(5G),B0213,FDF-4
중부산-04-08(5G),B0106,FDF-5
중부산-04-09(5G),B0106,FDF-5
중부산-05-00(5G),B0106,FDF-5
중부산-05-01(5G),B0106,FDF-5
중부산-05-02(5G),B0106,FDF-5
중부산-05-03(5G),B0106,FDF-5
중부산-05-04(5G),B0106,FDF-5
중부산-05-05(5G),B0106,FDF-5
중부산-05-06(5G),B0106,FDF-5
중부산-05-07(5G),B0106,FDF-5
중부산-05-08(5G),B0106,FDF-5
중부산-05-09(5G),B0106,FDF-5
중부산-06-00(5G),B0105,FDF-6
중부산-06-01(5G),B0105,FDF-6
중부산-06-02(5G),B0105,FDF-6
중부산-06-03(5G),B0105,FDF-6
중부산-06-04(5G),B0105,FDF-6
중부산-06-05(5G),B0105,FDF-6
중부산-06-06(5G),B0105,FDF-6
중부산-06-07(5G),B0105,FDF-6
중부산-06-08(5G),B0105,FDF-6
중부산-06-09(5G),B0105,FDF-6
중부산-07-00(5G),B0105,FDF-6
중부산-07-01(5G),B0105,FDF-6
중부산-07-02(5G),B0104,FDF-7
중부산-07-03(5G),B0104,FDF-7
중부산-07-04(5G),B0104,FDF-7
중부산-07-05(5G),B0104,FDF-7
중부산-07-06(5G),B0104,FDF-7
중부산-07-07(5G),B0104,FDF-7
중부산-07-08(5G),B0104,FDF-7
중부산-07-09(5G),B0104,FDF-7
중부산-08-00(5G),B0104,FDF-7
중부산-08-01(5G),B0104,FDF-7
중부산-08-02(5G),B0104,FDF-7
중부산-08-03(5G),B0104,FDF-7
중부산-08-04(5G),B0103,FDF-8
중부산-08-05(5G),B0103,FDF-8
중부산-08-06(5G),B0103,FDF-8
중부산-08-07(5G),B0103,FDF-8
중부산-08-08(5G),B0103,FDF-8
중부산-08-09(5G),B0103,FDF-8
동부산-00-00(5G),B0210,FDF-1
동부산-00-01(5G),B0210,FDF-1
동부산-00-02(5G),B0210,FDF-1
동부산-00-03(5G),B0210,FDF-1
동부산-00-04(5G),B0210,FDF-1
동부산-00-05(5G),B0210,FDF-1
동부산-00-06(5G),B0210,FDF-1
동부산-00-07(5G),B0210,FDF-1
동부산-00-08(5G),B0210,FDF-1
동부산-00-09(5G),B0210,FDF-1
동부산-01-00(5G),B0210,FDF-1
동부산-01-01(5G),B0210,FDF-1
동부산-01-02(5G),B0211,FDF-2
동부산-01-03(5G),B0211,FDF-2
동부산-01-04(5G),B0211,FDF-2
동부산-01-05(5G),B0211,FDF-2
동부산-01-06(5G),B0211,FDF-2
동부산-01-07(5G),B0211,FDF-2
동부산-01-08(5G),B0211,FDF-2
동부산-01-09(5G),B0211,FDF-2
동부산-02-00(5G),B0211,FDF-2
동부산-02-01(5G),B0211,FDF-2
동부산-02-02(5G),B0211,FDF-2
동부산-02-03(5G),B0211,FDF-2
동부산-02-04(5G),B0212,FDF-3
동부산-02-05(5G),B0212,FDF-3
동부산-02-06(5G),B0212,FDF-3
동부산-02-07(5G),B0212,FDF-3
동부산-02-08(5G),B0212,FDF-3
동부산-02-09(5G),B0212,FDF-3
동부산-03-00(5G),B0212,FDF-3
동부산-03-01(5G),B0212,FDF-3
동부산-03-02(5G),B0212,FDF-3
동부산-03-03(5G),B0212,FDF-3
동부산-03-04(5G),B0212,FDF-3
동부산-03-05(5G),B0212,FDF-3
동부산-03-06(5G),B0213,FDF-4
동부산-03-07(5G),B0213,FDF-4
동부산-03-08(5G),B0213,FDF-4
동부산-03-09(5G),B0213,FDF-4
동부산-04-00(5G),B0213,FDF-4
동부산-04-01(5G),B0213,FDF-4
동부산-04-02(5G),B0213,FDF-4
동부산-04-03(5G),B0213,FDF-4
동부산-04-04(5G),B0213,FDF-4
동부산-04-05(5G),B0213,FDF-4
동부산-04-06(5G),B0213,FDF-4
동부산-04-07(5G),B0213,FDF-4
동부산-04-08(5G),B0106,FDF-5
동부산-04-09(5G),B0106,FDF-5
동부산-05-00(5G),B0106,FDF-5
동부산-05-01(5G),B0106,FDF-5
동부산-05-02(5G),B0106,FDF-5
동부산-05-03(5G),B0106,FDF-5
동부산-05-04(5G),B0106,FDF-5
동부산-05-05(5G),B0106,FDF-5
동부산-05-06(5G),B0106,FDF-5
동부산-05-07(5G),B0106,FDF-5
동부산-05-08(5G),B0106,FDF-5
동부산-05-09(5G),B0106,FDF-5
동부산-06-00(5G),B0105,FDF-6
동부산-06-01(5G),B0105,FDF-6
동부산-06-02(5G),B0105,FDF-6
동부산-06-03(5G),B0105,FDF-6
동부산-06-04(5G),B0105,FDF-6
동부산-06-05(5G),B0105,FDF-6
동부산-06-06(5G),B0105,FDF-6
동부산-06-07(5G),B0105,FDF-6
동부산-06-08(5G),B0105,FDF-6
동부산-06-09(5G),B0105,FDF-6
동부산-07-00(5G),B0105,FDF-6
동부산-07-01(5G),B0105,FDF-6
동부산-07-02(5G),B0104,FDF-7
동부산-07-03(5G),B0104,FDF-7
동부산-07-04(5G),B0104,FDF-7
동부산-07-05(5G),B0104,FDF-7
동부산-07-06(5G),B0104,FDF-7
동부산-07-07(5G),B0104,FDF-7
동부산-07-08(5G),B0104,FDF-7
동부산-07-09(5G),B0104,FDF-7
서부산-00-00(5G),B0210,FDF-1
서부산-00-01(5G),B0210,FDF-1
서부산-00-02(5G),B0210,FDF-1
서부산-00-03(5G),B0210,FDF-1
서부산-00-04(5G),B0210,FDF-1
서부산-00-05(5G),B0210,FDF-1
서부산-00-06(5G),B0210,FDF-1
서부산-00-07(5G),B0210,FDF-1
서부산-00-08(5G),B0210,FDF-1
서부산-00-09(5G),B0210,FDF-1
서부산-01-00(5G),B0210,FDF-1
서부산-01-01(5G),B0210,FDF-1
서부산-01-02(5G),B0211,FDF-2
서부산-01-03(5G),B0211,FDF-2
서부산-01-04(5G),B0211,FDF-2
서부산-01-05(5G),B0211,FDF-2
서부산-01-06(5G),B0211,FDF-2
서부산-01-07(5G),B0211,FDF-2
서부산-01-08(5G),B0211,FDF-2
서부산-01-09(5G),B0211,FDF-2
서부산-02-00(5G),B0211,FDF-2
서부산-02-01(5G),B0211,FDF-2
서부산-02-02(5G),B0211,FDF-2
서부산-02-03(5G),B0211,FDF-2
서부산-02-04(5G),B0212,FDF-3
서부산-02-05(5G),B0212,FDF-3
서부산-02-06(5G),B0212,FDF-3
서부산-02-07(5G),B0212,FDF-3
서부산-02-08(5G),B0212,FDF-3
서부산-02-09(5G),B0212,FDF-3
서부산-03-00(5G),B0212,FDF-3
서부산-03-01(5G),B0212,FDF-3
서부산-03-02(5G),B0212,FDF-3
서부산-03-03(5G),B0212,FDF-3
서부산-03-04(5G),B0212,FDF-3
서부산-03-05(5G),B0212,FDF-3
서부산-03-06(5G),B0213,FDF-4
서부산-03-07(5G),B0213,FDF-4
서부산-03-08(5G),B0213,FDF-4
서부산-03-09(5G),B0213,FDF-4
서부산-04-00(5G),B0213,FDF-4
서부산-04-01(5G),B0213,FDF-4
서부산-04-02(5G),B0213,FDF-4
서부산-04-03(5G),B0213,FDF-4
서부산-04-04(5G),B0213,FDF-4
